[kapil@archlinux ~]$ pacman -Q
a52dec 0.8.0-2
aalib 1.4rc5-19
abseil-cpp 20250814.1-1
accounts-qml-module 0.7-6
acl 2.3.2-1
adwaita-cursors 49.0-1
adwaita-fonts 49.0-2
adwaita-icon-theme 49.0-1
adwaita-icon-theme-legacy 46.2-3
alacritty 0.16.1-1
alembic 1.8.10-2
alsa-card-profiles 1:1.4.9-2
alsa-lib 1.2.15.2-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.15.2-1
ananicy-cpp 1.1.1-10
antigravity 1.14.2-2
aom 3.13.1-2
appstream 1.1.1-1
aquamarine 0.10.0-2
archlinux-keyring 20260107-2
argon2 20190702-6
at-spi2-core 2.58.3-1
attica 6.22.0-1
attr 2.5.2-1
audacity 1:3.7.7-1
audit 4.1.2-2
autoconf 2.72-1
automake 1.18.1-1
avahi 1:0.9rc2-3
baloo 6.22.0-1
baloo-widgets 25.12.1-1
base 3-2
base-devel 1-2
bash 5.3.9-1
binutils 2.45.1+r35+g12d0a1dbc1b9-1
bison 3.8.2-8
blas 3.12.1-2
blender 17:5.0.1-2
blosc 1.21.6-2
blueman 2.4.6-2
bluez 5.85-1
bluez-libs 5.85-1
bluez-utils 5.85-1
boost-libs 1.89.0-4
breeze-icons 6.22.0-1
brightnessctl 0.5.1-3
brotli 1.2.0-1
btop 1.4.6-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.6-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.120-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm-1.16 1.18.0-2
cantarell-fonts 1:0.311-1
cblas 3.12.1-2
cdparanoia 10.2-9
cheese 44.1-5
chromaprint 1.6.0-2
chromium 144.0.7559.59-2
cifs-utils 7.4-1
clang 21.1.6-3
clucene 2.3.3.4-16
clutter 1.26.4-3
clutter-gst 3.0.27-5
clutter-gtk 1.8.4-4
cmatrix 2.0-4
cogl 1.22.8-3
compiler-rt 21.1.6-1
confuse 3.3-4
containerd 2.2.1-1
convertlit 1.8-13
coreutils 9.9-1
cryptsetup 2.8.3-1
curl 8.18.0-2
dav1d 1.5.3-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 37-2
dbus-broker-units 37-2
dbus-units 37-2
dconf 0.49.0-1
debugedit 5.2-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.38-1
diffutils 3.12-2
discount 3.0.0.d-1
djvulibre 3.5.29-1
docker 1:29.1.4-1
dolphin 25.12.1-1
dos2unix 7.5.3-1
double-conversion 3.4.0-1
draco 1.5.7-1
duktape 2.7.0-7
dunst 1.13.0-1
e2fsprogs 1.47.3-2
earlyoom 1.9.0-1
ebook-tools 0.2.2-9
efibootmgr 18-3
efivar 39-1
electron37 37.5.1-1
ell 0.81-1
embree 4.4.0-1
exiv2 0.28.7-1
expat 2.7.3-1
faac 1.31.1-1
faad2 2.11.2-1
fakeroot 1.37.1.2-1
fastfetch 2.57.1-1
ffmpeg 2:8.0.1-2
fftw 3.3.10-7
file 5.46-5
filesystem 2025.10.12-1
findutils 4.10.0-3
flac 1.5.0-1
flashrom 1.6.0-1
flex 2.6.4-5
fluidsynth 2.5.2-1
fmt 12.1.0-1
fontconfig 2:2.17.1-1
freeglut 3.8.0-1
freetype2 2.14.1-1
frei0r-plugins 2.5.1-2
fribidi 1.0.16-2
fuse-common 3.17.4-1
fuse3 3.17.4-1
fwupd 2.0.19-1
fwupd-efi 1.8-1
gamemode 1.8.2-1
gawk 5.3.2-1
gc 8.2.10-2
gcc 15.2.1+r447+g6a64f6c3ebb8-1
gcc-libs 15.2.1+r447+g6a64f6c3ebb8-1
gcr-4 4.4.0.1-1
gdbm 1.26-2
gdk-pixbuf2 2.44.4-1
gettext 0.26-1
ghostscript 10.06.0-1
giflib 5.2.2-2
girara 0.4.5-1
git 2.52.0-2
glew 2.3.0-2
glfw 1:3.4-1
glib-networking 1:2.80.1-1
glib2 2.86.3-2
glibc 2.42+r50+g453e6b8dbab9-1
glibmm-2.68 2.86.0-1
glslang 1:1.4.335.0-1
glu 9.0.3-2
glycin 2.0.7-1
gmp 6.3.0-2
gnome-desktop 1:44.4-1
gnome-desktop-common 1:44.4-1
gnome-video-effects 1:0.6.0-2
gnulib-l10n 20241231-1
gnupg 2.4.9-1
gnutls 3.8.11-2
gobject-introspection-runtime 1.86.0-2
google-chrome 144.0.7559.59-1
gperftools 2.17.2-1
gpgme 2.0.1-1
gpgmepp 2.0.0-2
gpm 1.20.7.r38.ge82d1a6-6
graphene 1.10.8-2
graphite 1:1.3.14-5
grep 3.12-2
grim 1.5.0-2
grimblast-git r149.513d71d-1
groff 1.23.0-7
gsettings-desktop-schemas 49.1-1
gsettings-system-schemas 49.1-1
gsm 1.0.23-1
gssdp 1.6.4-1
gst-plugin-pipewire 1:1.4.9-2
gst-plugins-bad 1.26.10-3
gst-plugins-bad-libs 1.26.10-3
gst-plugins-base 1.26.10-3
gst-plugins-base-libs 1.26.10-3
gst-plugins-good 1.26.10-3
gstreamer 1.26.10-3
gtest 1.17.0-1
gtk-update-icon-cache 1:4.20.3-1
gtk3 1:3.24.51-1
gtk4 1:4.20.3-1
gtkmm-4.0 4.20.0-1
guile 3.0.11-1
gumbo-parser 0.13.2-1
gupnp 1:1.6.9-1
gupnp-igd 1.6.0-2
gvfs 1.58.0-2
gzip 1.14-2
harfbuzz 12.3.0-1
harfbuzz-icu 12.3.0-1
hdf5 2.0.0-3
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.3.0-1
htop 3.4.1-1
hunspell 1.7.2-2
hwdata 0.403-1
hwloc 2.12.2-1
hyphen 2.8.8-6
hyprcursor 0.1.13-3
hyprgraphics 0.5.0-1
hyprland 0.53.1-1
hyprland-guiutils 0.2.1-2
hyprlang 0.6.8-1
hyprshot 1.3.0-4
hyprsunset 0.3.3-4
hyprtoolkit 0.5.2-1
hyprutils 0.11.0-1
hyprwayland-scanner 0.4.5-1
hyprwire 0.2.1-2
iana-etc 20251215-1
icu 78.2-1
ijs 0.35-6
imagemagick 7.1.2.12-2
imath 3.2.2-3
imlib2 1.12.6-1
impala 0.7.2-1
imv 5.0.1-1
iniparser 4.2.6-2
intel-gmmlib 22.8.2-1
intel-media-driver 25.3.4-1
intel-oneapi-common 2024.1.0-1
intel-oneapi-compiler-dpcpp-cpp-runtime-libs 2025.0.4-1
intel-oneapi-compiler-shared-runtime-libs 2025.0.4-2
intel-oneapi-openmp 2025.0.4-1
intel-oneapi-tbb 2021.12.0-2
intel-oneapi-tcm 1.2.0-3
intel-ucode 20251111-1
iproute2 6.18.0-1
iptables 1:1.8.11-2
iputils 20250605-1
irqbalance 1.9.5-3
iso-codes 4.20.1-1
iwd 3.10-1
jansson 2.14.1-1
java-runtime-common 3-6
jbig2dec 0.20-1
jbigkit 2.1-8
jemalloc 1:5.3.0-5
jq 1.8.1-1
jre-openjdk 25.0.1.u8-1
json-c 0.18-2
json-glib 1.10.8-1
jsoncpp 1.9.6-3
kaccounts-integration 25.12.1-1
karchive 6.22.0-1
kbd 2.9.0-1
